asset,png,width,height,sha256,description
VictorySummaryPanel,VictorySummaryPanel.png,1405,500,603dce0ff7b8a5a468b7b1ab1860a418f6a9b9daff92c7b5533328f033dbc188,结算纸张、上下横边、已选卡牌标题底条与左侧玫瑰；不含文字和卡槽。
VictoryCharacter,VictoryCharacter.png,552,695,6f6381c2c47d47a71fddeb06219459de372e3c24b7c709e7ef1006ac47603f63,本轮胜利红帽角色立绘。
VictoryRoseRight,VictoryRoseRight.png,216,160,22aa059b77f8ce0479b2b403a34cd0f2e1029fc9f6fcbaad7e2ae24da48215b3,结算板与角色交界处的右侧玫瑰。
VictoryContinueButton,VictoryContinueButton.png,405,136,51b454f6d846d56f72bd47dd84080eb8d0ef4487530e9afcad1a89ddc56576db,继续按钮底图；按钮文字由 UMG TextBlock 提供。
VictoryCardSlot,VictoryCardSlot.png,144,170,caf00f0c31a53414949442a0a76f1e2a04d802dea52d915454628e8f2d03a512,单个已选卡牌空槽；WBP 中复制为五个可独立移动的 Image。
VictoryTimeShard,VictoryTimeShard.png,56,62,7030771257569154e4a68ec8005a2bbd36ef24a70a26741e240b025fd02bf694,时间碎片图标。
